CÓDIGO_INSTITUCIÓN_PADRE;CÓDIGO_INSTITUCIÓN;NOMBRE_INSTITUCIÓN;ESTADO_INSTITUCIÓN;CARÁCTER_ACADÉMICO;SECTOR;REGISTRO_UNICO;CÓDIGO_SNIES_DEL_PROGRAMA;CÓDIGO_ANTERIOR_ICFES;NOMBRE_DEL_PROGRAMA;TITULO_OTORGADO;ESTADO_PROGRAMA;JUSTIFICACION;JUSTIFICACION_DETALLADA;RECONOCIMIENTO_DEL_MINISTERIO;RESOLUCIÓN_DE_APROBACIÓN;FECHA_DE_RESOLUCIÓN;VIGENCIA_AÑOS;FECHA_DE_REGISTRO_EN_SNIES;CAMPO_AMPLIO;CAMPO_ESPECÍFIC;CAMPO_DETALLADO;ÁREA_DE_CONOCIMIENTO;NÚCLEO_BÁSICO_DEL_CONOCIMIENTO;NIVEL_ACADÉMICO;NIVEL_DE_FORMACIÓN;MODALIDAD;NÚMERO_CRÉDITOS;NÚMERO_PERIODOS_DE_DURACIÓN;PERIODICIDAD;SE_OFRECE_POR_CICLOS_PROPEDÉUT;PERIODICIDAD_ADMISIONES;PROGRAMA_EN_CONVENIO;DEPARTAMENTO_OFERTA_PROGRAMA;MUNICIPIO_OFERTA_PROGRAMA;COSTO_MATRÍCULA_ESTUD_NUEVOS
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;4;110147410601100111100;DISEÑO GRAFICO;DISEÑADOR(A) GRAFICO;Activo;;;Acreditación de alta calidad;12260;42226;4;35875,349;Arte y Humanidades;Artes;Artes no clasificadas en otra parte;Bellas artes;Diseño;Pregrado;Universitaria;Presencial;148;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;5;110147450201100111100;DISEÑO INDUSTRIAL;DISEÑADOR(A) INDUSTRIAL;Activo;;;Acreditación de alta calidad;24508;43049;6;35875,34925;Arte y Humanidades;Artes;Diseño industrial, de moda e interiores;Bellas artes;Diseño;Pregrado;Universitaria;Presencial;169;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;18;110143300001100111100;ECONOMÍA;ECONOMISTA;Activo;;;Acreditación de alta calidad;549;42384;8;35875,34844;Ciencias Sociales, Periodismo e Información;Ciencias sociales y del comportamiento;Economía;Economía, administración, contaduría y afines;Economía;Pregrado;Universitaria;Presencial;151;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;7;110146100731100111100;ENFERMERIA;ENFERMERO(A);Activo;;;Acreditación de alta calidad;7728;41785;8;35875,34971;Salud y Bienestar;Salud;Enfermería y partería;Ciencias de la salud;Enfermería;Pregrado;Universitaria;Presencial;161;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;20490;110141003701100111100;ESPAÑOL Y FILOLOGIA CLASICA;LICENCIADO EN ESPAÑOL Y FILOLOGIA CLASICA;Activo;;Programa unal alta calidad;Acreditación de alta calidad;11949;42537;5;38205;Arte y Humanidades;Alfabetización y aritmética elemental;Idiomas no clasificados en otra parte;Ciencias de la educación;Educación;Pregrado;Universitaria;Presencial;125;8;Semestral;No;Anual;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;54036;54036;ESPAÑOL Y FILOLOGIA CLASICA;LICENCIADO EN ESPAÑOL Y FILOLOGIA CLASICA;Activo;;;Acreditación de alta calidad;4651;39650;4;38205;Arte y Humanidades;Idiomas;Idiomas no clasificados en otra parte;Ciencias sociales y humanas;Lenguas modernas, literatura, linguística y afines;Pregrado;Universitaria;Presencial;;8;Semestral;No;;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;32;110143100001100111100;ESTADISTICA;ESTADISTICO(A);Activo;;;Acreditación de alta calidad;26329;43063;6;35875,3488;Ciencias Naturales, Matemáticas y Estadística;Matemáticas y estadística;Estadística;Matemáticas y ciencias naturales;Matemáticas, estadística y afines;Pregrado;Universitaria;Presencial;141;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;106654;106654;ESTUDIOS LITERARIOS;PROFESIONAL EN ESTUDIOS LITERARIOS;Activo;;;Acreditación de alta calidad;16333;42277;6;43123,44841;Arte y Humanidades;Idiomas;Literatura y lingüística;Ciencias sociales y humanas;Lenguas modernas, literatura, linguística y afines;Pregrado;Universitaria;Presencial;119;8;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;37;110146150101100111100;FARMACIA;QUIMICO(A) FARMACEUTICO(A);Activo;;;Acreditación de alta calidad;2494;40632;8;35875,34889;Ciencias Naturales, Matemáticas y Estadística;Ciencias físicas;Ciencias físicas no clasificadas en otra parte;Matemáticas y ciencias naturales;Química y afines;Pregrado;Universitaria;Presencial;185;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;23;110144000001100111100;FILOLOGIA E IDIOMAS;LICENCIADO(A) EN FILOLOGIA E IDIOMAS;Activo;;;Acreditación de alta calidad;16228;42277;6;35875,34859;Arte y Humanidades;Idiomas;Adquisición del lenguaje;Ciencias sociales y humanas;Lenguas modernas, literatura, linguística y afines;Pregrado;Universitaria;Presencial;140;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;20;110141000011100111100;FILOSOFIA;FILOSOFO(A);Activo;;;Acreditación de alta calidad;5422;42118;10;35875,34847;Arte y Humanidades;Humanidades (Excepto idiomas);Filosofía y ética;Ciencias sociales y humanas;Filosofía, teología y afines;Pregrado;Universitaria;Presencial;122;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;33;110145300001100111100;FISICA;FISICO(A);Activo;;;Acreditación de alta calidad;1235;39157;8;35875,34881;Ciencias Naturales, Matemáticas y Estadística;Ciencias físicas;Física;Matemáticas y ciencias naturales;Física;Pregrado;Universitaria;Presencial;;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;8;110146150821100111100;FISIOTERAPIA;FISIOTERAPEUTA;Activo;;;Acreditación de alta calidad;26328;43063;4;35875,34973;Salud y Bienestar;Salud;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;Ciencias de la salud;Terapias;Pregrado;Universitaria;Presencial;166;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;3102;110146170891100111100;FONOAUDIOLOGIA;FONOAUDIOLOGO (A);Activo;;;Acreditación de alta calidad;17343;43826;8;35875,34878;Salud y Bienestar;Salud;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;Ciencias de la salud;Terapias;Pregrado;Universitaria;Presencial;155;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;3103;110149100001100111100;GEOGRAFIA;GEOGRAFO (A);Activo;;;Acreditación de alta calidad;21082;42362;6;35875,34878;Ciencias Sociales, Periodismo e Información;Ciencias sociales y del comportamiento;Ciencias sociales y del comportamiento no clasificadas en otra parte;Ciencias sociales y humanas;Geografía, historia;Pregrado;Universitaria;Presencial;128;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;34;110145510001100111100;GEOLOGIA;GEOLOGO(A);Activo;;;Acreditación de alta calidad;12259;42226;8;35875,34882;Ciencias Naturales, Matemáticas y Estadística;Ciencias físicas;Ciencias de la tierra;Matemáticas y ciencias naturales;Geología, otros programas de ciencias naturales;Pregrado;Universitaria;Presencial;166;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;21;110149000001100111100;HISTORIA;HISTORIADOR(A);Activo;;;Acreditación de alta calidad;12256;42226;8;35875,34855;Arte y Humanidades;Humanidades (Excepto idiomas);Historia y arqueología;Ciencias sociales y humanas;Geografía, historia;Pregrado;Universitaria;Presencial;121;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;24;110146306201100111100;INGENIERIA AGRICOLA;INGENIERO(A) AGRICOLA;Activo;;;Acreditación de alta calidad;5785;41753;6;35875,3486;Agropecuario, Silvicultura, Pesca y Veterinaria;Agropecuario;Producción agrícola y ganadera;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agrícola, forestal y afines;Pregrado;Universitaria;Presencial;180;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;1;110146303331100111100;INGENIERIA AGRONOMICA;INGENIERO(A) AGRONOMO(A);Activo;;;Acreditación de alta calidad;9275;40834;8;35875,34826;Agropecuario, Silvicultura, Pesca y Veterinaria;Agropecuario;Producción agrícola y ganadera;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agronómica, pecuaria y afines;Pregrado;Universitaria;Presencial;180;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;25;110146240001100111100;INGENIERIA CIVIL;INGENIERO(A) CIVIL;Activo;;;Acreditación de alta calidad;3984;41017;8;35875,34862;Ingeniería, Industria y Construcción;Arquitectura y construcción;Construcción e ingeniería civil;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitaria;Presencial;180;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;26;110140030001100111100;INGENIERIA DE SISTEMAS;INGENIERO(A) DE SISTEMAS;Inactivo;;Se inactivan por cambio de denominacion 09-feb-18;Acreditación de alta calidad;3576;39615;8;35875,34865;Tecnologías de la Información y la Comunicación (TIC);Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC);Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC);Ingeniería, arquitectura, urbanismo y afines;Ingeniería de sistemas, telemática y afines;Pregrado;Universitaria;Presencial;;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;197406;110140030001100111100;INGENIERÍA DE SISTEMAS Y COMPUTACIÓN;INGENIERO(A) DE SISTEMAS Y COMPUTACION;Activo;;;Acreditación de alta calidad;3576;39615;8;35875,34865;;;;Ingeniería, arquitectura, urbanismo y afines;Ingeniería de sistemas, telemática y afines;Pregrado;Universitaria;Presencial;;10;Semestral;No;Semestral;N;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;106661;110140030001100111100;INGENIERÍA DE SISTEMAS Y COMPUTACIÓN;INGENIERO(A) DE SISTEMAS Y COMPUTACION;Activo;;;Acreditación de alta calidad;18817;43445;8;35875,34865;Tecnologías de la Información y la Comunicación (TIC);Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC);Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC);Ingeniería, arquitectura, urbanismo y afines;Ingeniería de sistemas, telemática y afines;Pregrado;Universitaria;Presencial;;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;27;110146210301100111100;INGENIERIA ELECTRICA;INGENIERO (A) ELECTRICISTA;Activo;;;Acreditación de alta calidad;21371;44176;8;35875,34866;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electricidad y energía;Ingeniería, arquitectura, urbanismo y afines;Ingeniería eléctrica y afines;Pregrado;Universitaria;Presencial;167;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;16941;110146210381100111100;INGENIERIA ELECTRONICA;INGENIERO(A) ELECTRONICO(A);Activo;;;Acreditación de alta calidad;2250;41690;8;37572;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería electrónica, telecomunicaciones y afines;Pregrado;Universitaria;Presencial;172;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;16940;110146700421100111100;INGENIERIA INDUSTRIAL;INGENIERO(A) INDUSTRIAL;Activo;;;Acreditación de alta calidad;7442;44316;8;37572;Ingeniería, Industria y Construcción;Industria y procesamiento;Industria y procesamiento no clasificados en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería industrial y afines;Pregrado;Universitaria;Presencial;168;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;28;110146210001100111100;INGENIERIA MECANICA;INGENIERO(A) MECANICO(A);Activo;;;Acreditación de alta calidad;24499;43049;8;35875,34868;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Mecánica y profesiones afines a la metalistería;Ingeniería, arquitectura, urbanismo y afines;Ingeniería mecánica y afines;Pregrado;Universitaria;Presencial;180;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;16939;110146290801100111100;INGENIERIA MECATRONICA;INGENIERO(A) MECATRONICO(A);Activo;;;Acreditación de alta calidad;12095;43787;8;37572;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería mecánica y afines;Pregrado;Universitaria;Presencial;179;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;29;110146600001100111100;INGENIERIA QUIMICA;INGENIERO(A) QUIMICO(A);Activo;;;Acreditación de alta calidad;3170;44256;8;35875,34869;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y procesos químicos;Ingeniería, arquitectura, urbanismo y afines;Ingeniería química y afines;Pregrado;Universitaria;Presencial;180;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;53465;53465;LICENCIATURA CIENCIAS DE LA EDUCACION ESPECIALIZACION EN QUIMICA;LICENCIADO EN CIENCIAS DE LA EDUCACION-ESPECIALIZACION EN QUIMICA;Inactivo;;;n/a;;;;39498;Educación;Educación;Formación para docentes sin asignatura de especialización;Ciencias de la educación;Educación;Pregrado;Universitaria;Presencial;;8;Semestral;No;;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;16938;110144100001100111100;LINGUISTICA;LINGUISTICA;Activo;;;Acreditación de alta calidad;12512;41856;7;37572;Arte y Humanidades;Humanidades (Excepto idiomas);Literatura y lingüística;Ciencias sociales y humanas;Lenguas modernas, literatura, linguística y afines;Pregrado;Universitaria;Presencial;123;8;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;22;110148000001100111100;LITERATURA;PROFESIONAL EN ESTUDIOS LITERARIOS;Inactivo;;;Acreditación de alta calidad;16333;42277;6;35875,34856;Arte y Humanidades;Idiomas;Literatura y lingüística;Ciencias sociales y humanas;Lenguas modernas, literatura, linguística y afines;Pregrado;Universitaria;Presencial;;8;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;35;110145100001100111100;MATEMATICAS;MATEMATICO(A);Activo;;;Acreditación de alta calidad;12258;42226;6;35875,34884;Ciencias Naturales, Matemáticas y Estadística;Matemáticas y estadística;Matemáticas;Matemáticas y ciencias naturales;Matemáticas, estadística y afines;Pregrado;Universitaria;Presencial;140;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;9;110146100001100111100;MEDICINA;MEDICO(A) CIRUJANO(A);Activo;;;Acreditación de alta calidad;21336;42689;10;35875,34975;Salud y Bienestar;Salud;Medicina;Ciencias de la salud;Medicina;Pregrado;Universitaria;Presencial;256;12;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;2;110146360891100111100;MEDICINA VETERINARIA;MEDICO(A) VETERINARIO(A);Activo;;;Acreditación de alta calidad;6071;43628;8;35875,34847;Agropecuario, Silvicultura, Pesca y Veterinaria;Veterinaria;Veterinaria;Agronomía, veterinaria y afines;Medicina veterinaria;Pregrado;Universitaria;Presencial;209;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;3100;110147800001100111100;MUSICA;MUSICO CON ENFASIS EN ...;Activo;;;Acreditación de alta calidad;5123;43182;6;35875,34878;Arte y Humanidades;Artes;Música y artes escénicas;Bellas artes;Música;Pregrado;Universitaria;Presencial;171;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;3101;110147840001100111100;MUSICA INSTRUMENTAL;MUSICO INSTRUMENTALISTA CON ENFASIS EN...;Activo;;;Acreditación de alta calidad;5122;43182;6;35875,34878;Arte y Humanidades;Artes;Música y artes escénicas;Bellas artes;Música;Pregrado;Universitaria;Presencial;183;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;10;110146120301100111100;NUTRICION Y DIETETICA;NUTRICIONISTA-DIETISTA;Activo;;;Acreditación de alta calidad;24501;43049;4;35875,34826;Salud y Bienestar;Salud;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;Ciencias de la salud;Nutrición y dietética;Pregrado;Universitaria;Presencial;158;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;11;110146170601100111100;ODONTOLOGIA;ODONTOLOGO(A);Activo;;;Acreditación de alta calidad;3680;41712;6;35875,34828;Salud y Bienestar;Salud;Odontología y estudios dentales;Ciencias de la salud;Odontología;Pregrado;Universitaria;Presencial;180;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;14;110141500001100111100;PSICOLOGIA;PSICOLOGO(A);Activo;;;Acreditación de alta calidad;7443;44316;8;35875,34836;Ciencias Sociales, Periodismo e Información;Ciencias sociales y del comportamiento;Psicología;Ciencias sociales y humanas;Psicología;Pregrado;Universitaria;Presencial;150;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;36;110145400001100111100;QUIMICA;QUIMICO(A);Activo;;;Acreditación de alta calidad;6160;42825;8;35875,34887;Ciencias Naturales, Matemáticas y Estadística;Ciencias físicas;Química;Matemáticas y ciencias naturales;Química y afines;Pregrado;Universitaria;Presencial;160;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;16;110143010011100111100;SOCIOLOGIA;SOCIOLOGO(A);Activo;;;Acreditación de alta calidad;4069;43908;6;35875,34841;Ciencias Sociales, Periodismo e Información;Ciencias sociales y del comportamiento;Sociología, Antropología y estudios culturales;Ciencias sociales y humanas;Sociología, trabajo social y afines;Pregrado;Universitaria;Presencial;131;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
